Filename,Year,Month,Date,Description,Type of Notice,Nr. of Repos Affected,Mass Removal,Frequent
2015-01-08-CareerCup.md,2015,01,08,CareerCup.md,Takedown,1,,
2015-01-08-HingX.md,2015,01,08,HingX.md,Takedown,1,,
2015-01-08-Magento.md,2015,01,08,Magento.md,Takedown,1,,
2015-01-08-NGUI.md,2015,01,08,NGUI.md,Takedown,1,,
2015-01-08-SEBRAE.md,2015,01,08,SEBRAE.md,Takedown,1,,
2015-01-08-TradeRev.md,2015,01,08,TradeRev.md,Takedown,1,,
2015-01-11-HingX.md,2015,01,11,HingX.md,Takedown,1,,
2015-01-13-Beardev.md,2015,01,13,Beardev.md,Takedown,2,,
2015-01-13-Widget-Candy.md,2015,01,13,Widget-Candy.md,Takedown,1,,
2015-01-14-BearDev-retraction.md,2015,01,14,BearDev-retraction.md,Retraction,1,,
2015-01-14-Evandeee.md,2015,01,14,Evandeee.md,Takedown,1,,
2015-01-14-HingX.md,2015,01,14,HingX.md,Takedown,1,,
2015-01-20-Uniblue.md,2015,01,20,Uniblue.md,Takedown,1,,
2015-01-20-VCMod.md,2015,01,20,VCMod.md,Takedown,1,,
2015-01-22-Apple.md,2015,01,22,Apple.md,Takedown,1,,
2015-01-23-Pluralsight.md,2015,01,23,Pluralsight.md,Takedown,1,,
2015-01-23-ServiceNow.md,2015,01,23,ServiceNow.md,Takedown,1,,
2015-01-27-Codility-1.md,2015,01,27,Codility-1.md,Takedown,2,,2
2015-01-27-Codility.md,2015,01,27,Codility.md,Takedown,1,,1
2015-01-27-Lost-Polygon.md,2015,01,27,Lost-Polygon.md,Takedown,1,,
2015-01-27-Tapatalk.md,2015,01,27,Tapatalk.md,Takedown,1,,
2015-01-28-Collins-Harper.md,2015,01,28,Collins-Harper.md,Takedown,1,,
2015-02-02-Cambridge-Mobile.md,2015,02,02,Cambridge-Mobile.md,Takedown,14,,14
2015-02-02-DCSoft.md,2015,02,02,DCSoft.md,Takedown,6,,
2015-02-02-havee-me.md,2015,02,02,havee-me.md,Takedown,1,,
2015-02-05-CS-233.md,2015,02,05,CS-233.md,Takedown,4,,
2015-02-05-DCSoft.md,2015,02,05,DCSoft.md,Takedown,3,,
2015-02-05-GE.md,2015,02,05,GE.md,Takedown,7,,
2015-02-06-Cambridge-Mobile.md,2015,02,06,Cambridge-Mobile.md,Takedown,3,,3
2015-02-06-extrautilities.md,2015,02,06,extrautilities.md,Takedown,1,,
2015-02-06-NexusGames.md,2015,02,06,NexusGames.md,Takedown,1,,
2015-02-10-IllinoisCS.md,2015,02,10,IllinoisCS.md,Takedown,27,,
2015-02-13-EllisLab.md,2015,02,13,EllisLab.md,Takedown,1,,
2015-02-14-IllinoisCS-retractions.md,2015,02,14,IllinoisCS-retractions.md,Retraction,33,,
2015-02-15-Intermedia.md,2015,02,15,Intermedia.md,Takedown,1,,
