Month,Takedown Notices Processed,Takedowns,Retractions,Reversals,Counter Notices,"Retractions, Reversals, and Counter Notices Processed",Repositories Remaining Offline,Takedowns (excluding Mass Removals),Repositories Remaining Offline (excluding Mass Removals),Mass Removals,Removals by Frequent Noticers,Mass Removals by Frequent Noticers,Notices from Mass Removals,Notices from Frequent Noticers,Notices from MR/FNs
Jan,32,139,1,0,4,5,134,139,134,0,51,0,0,9,0
Feb,44,254,0,80,4,84,170,254,170,0,70,0,0,10,0
Mar,55,618,3,0,2,5,613,113,108,0,530,505,0,12,1
Apr,44,454,0,0,1,1,453,185,184,269,56,0,1,14,0
May,53,118,0,0,1,1,117,118,117,0,26,0,0,5,0
Jun,49,927,1,0,0,1,926,148,147,779,32,0,2,14,0
Jul,56,369,0,0,0,0,369,194,194,0,197,175,0,11,1
Aug,63,953,0,0,1,1,952,130,129,0,837,823,0,7,1
Sep,68,243,1,0,8,9,234,243,234,0,92,0,0,19,0
Oct,64,264,0,0,0,0,264,264,264,0,136,0,0,18,0
Nov,63,154,0,0,1,1,153,154,153,0,47,0,0,12,0
Dec,69,420,6,0,3,9,411,288,279,0,199,132,1,14,0
,,,,,,,,,,,,,,,
Totals,660,4913,12,80,25,117,4796,2230,2113,1048,2273,1635,4,145,3
