Filename,Year,Month,Date,Description,Type of Notice,Nr. of Repos Affected
2017-01-03-BERTechnology.md,2017,01,03,BERTechnology.md,Takedown,1
2017-01-03-Devecoder.md,2017,01,03,Devecoder.md,Takedown,1
2017-01-03-Toontown.md,2017,01,03,Toontown.md,Takedown,1
2017-01-04-Cashare.md,2017,01,04,Cashare.md,Takedown,1
2017-01-04-newznab.md,2017,01,04,newznab.md,Takedown,1
2017-01-05-BERTechnology.md,2017,01,05,BERTechnology.md,Takedown,1
2017-01-05-DevExpress.md,2017,01,05,DevExpress.md,Takedown,1
2017-01-05-FluidMC-CounterNotice.md,2017,01,05,FluidMC-CounterNotice.md,Counter Notice,1
2017-01-05-handsontable.md,2017,01,05,handsontable.md,Takedown,1
2017-01-05-MineTox.md,2017,01,05,MineTox.md,Takedown,3
2017-01-05-Mobiscroll.md,2017,01,05,Mobiscroll.md,Takedown,1
2017-01-05-Pearson.md,2017,01,05,Pearson.md,Takedown,2
2017-01-06-FluffyUnderware.md,2017,01,06,FluffyUnderware.md,Takedown,1
2017-01-06-FluffyUnderware2.md,2017,01,06,FluffyUnderware2.md,Takedown,1
2017-01-06-newznab.md,2017,01,06,newznab.md,Takedown,1
2017-01-07-WorkStride.md,2017,01,07,WorkStride.md,Takedown,1
2017-01-09-Cashare-1.md,2017,01,09,Cashare-1.md,Takedown,1
2017-01-09-Cashare-2.md,2017,01,09,Cashare-2.md,Takedown,1
2017-01-09-Cashare-3.md,2017,01,09,Cashare-3.md,Takedown,1
2017-01-09-IGCRPG.md,2017,01,09,IGCRPG.md,Takedown,1
2017-01-09-PreCon.md,2017,01,09,PreCon.md,Takedown,1
2017-01-09-UCSB.md,2017,01,09,UCSB.md,Takedown,1
2017-01-10-AppAcademy.md,2017,01,10,AppAcademy.md,Takedown,1
2017-01-10-Chakra.md,2017,01,10,Chakra.md,Takedown,1
2017-01-10-FlowFree.md,2017,01,10,FlowFree.md,Takedown,3
2017-01-10-Pearson.md,2017,01,10,Pearson.md,Takedown,1
2017-01-10-Steinberg.md,2017,01,10,Steinberg.md,Takedown,1
2017-01-11-DevExpress.md,2017,01,11,DevExpress.md,Takedown,1
2017-01-11-MetaQuotes.md,2017,01,11,MetaQuotes.md,Takedown,1
2017-01-11-Pearson.md,2017,01,11,Pearson.md,Takedown,1
2017-01-11-ruhoh.md,2017,01,11,ruhoh.md,Takedown,1
2017-01-11-Steinberg.md,2017,01,11,Steinberg.md,Takedown,1
2017-01-12-Apple.md,2017,01,12,Apple.md,Takedown,1
2017-01-12-Presto.md,2017,01,12,Presto.md,Takedown,1
2017-01-12-Sony.md,2017,01,12,Sony.md,Takedown,1
2017-01-12-Zyante.md,2017,01,12,Zyante.md,Takedown,1
2017-01-13-Koongo.md,2017,01,13,Koongo.md,Takedown,1
2017-01-13-Nexon.md,2017,01,13,Nexon.md,Takedown,1
2017-01-13-Pearson.md,2017,01,13,Pearson.md,Takedown,3
2017-01-16-Opsive.md,2017,01,16,Opsive.md,Takedown,1
2017-01-16-RadStudio.md,2017,01,16,RadStudio.md,Takedown,1
2017-01-16-SaveOn.md,2017,01,16,SaveOn.md,Takedown,1
2017-01-17-Grafica.md,2017,01,17,Grafica.md,Takedown,1
2017-01-17-Mobiscroll.md,2017,01,17,Mobiscroll.md,Takedown,1
2017-01-17-Trivago-counternotice.md,2017,01,17,Trivago-counternotice.md,Counter Notice,1
2017-01-17-Trivago.md,2017,01,17,Trivago.md,Takedown,3
2017-01-19-Apple.md,2017,01,19,Apple.md,Takedown,16
2017-01-19-CodeIgniter.md,2017,01,19,CodeIgniter.md,Takedown,1
2017-01-19-Copystrong.md,2017,01,19,Copystrong.md,Takedown,1
2017-01-19-PORTAIO.md,2017,01,19,PORTAIO.md,Takedown,21
2017-01-19-Sony.md,2017,01,19,Sony.md,Takedown,5
2017-01-19-Steinberg.md,2017,01,19,Steinberg.md,Takedown,2
2017-01-20-Koongo-CounterNotice.md,2017,01,20,Koongo-CounterNotice.md,Counter Notice,1
2017-01-23-Battlesharp.md,2017,01,23,Battlesharp.md,Takedown,2
2017-01-23-FlightCrewAndroid.md,2017,01,23,FlightCrewAndroid.md,Takedown,1
2017-01-23-HexletLtd.md,2017,01,23,HexletLtd.md,Takedown,1
2017-01-23-Kewill.md,2017,01,23,Kewill.md,Takedown,1
2017-01-23-Pearson.md,2017,01,23,Pearson.md,Takedown,7
2017-01-23-Pluralsight.md,2017,01,23,Pluralsight.md,Takedown,66
2017-01-23-ruggengraat.md,2017,01,23,ruggengraat.md,Takedown,2
2017-01-23-ShootToKill.md,2017,01,23,ShootToKill.md,Takedown,1
2017-01-23-Stereoarts.md,2017,01,23,Stereoarts.md,Takedown,1
2017-01-24-BHIM.md,2017,01,24,BHIM.md,Takedown,1
2017-01-24-LiveMedia.md,2017,01,24,LiveMedia.md,Takedown,1
2017-01-24-Pearson.md,2017,01,24,Pearson.md,Takedown,1
2017-01-24-Web-Kik.md,2017,01,24,Web-Kik.md,Takedown,1
2017-01-24-Web-Kik2.md,2017,01,24,Web-Kik2.md,Takedown,1
2017-01-24-YouServe.md,2017,01,24,YouServe.md,Takedown,1
2017-01-25-Bibel.md,2017,01,25,Bibel.md,Takedown,1
2017-01-25-MetaQuotes.md,2017,01,25,MetaQuotes.md,Takedown,1
2017-01-25-RevealedTricks4u.md,2017,01,25,RevealedTricks4u.md,Takedown,1
2017-01-26-TraceableLIVE.md,2017,01,26,TraceableLIVE.md,Takedown,3
2017-01-27-AlterEgojQuery.md,2017,01,27,AlterEgojQuery.md,Takedown,1
2017-01-27-EloBuddy.md,2017,01,27,EloBuddy.md,Takedown,9
2017-01-27-Hexlet.md,2017,01,27,Hexlet.md,Takedown,1
2017-01-27-tournamentbot-counternotice.md,2017,01,27,tournamentbot-counternotice.md,Counter Notice,1
2017-01-30-Steinberg-2.md,2017,01,30,Steinberg-2.md,Takedown,1
2017-01-30-Steinberg.md,2017,01,30,Steinberg.md,Takedown,1
2017-01-31-Embarcadero.md,2017,01,31,Embarcadero.md,Takedown,1
2017-01-31-Hexlet.md,2017,01,31,Hexlet.md,Takedown,1
2017-01-31-NCR.md,2017,01,31,NCR.md,Takedown,1
2017-02-01-Rabbitmq.md,2017,02,01,Rabbitmq.md,Takedown,1
2017-02-01-RBoyApps-3.md,2017,02,01,RBoyApps-3.md,Takedown,9
2017-02-01-RBoyApps.md,2017,02,01,RBoyApps.md,Takedown,1
2017-02-01-ZurcherBibel.md,2017,02,01,ZurcherBibel.md,Takedown,1
2017-02-02-FlowFree.md,2017,02,02,FlowFree.md,Takedown,1
2017-02-02-GobelinLand.md,2017,02,02,GobelinLand.md,Takedown,1
2017-02-02-Irdeto.md,2017,02,02,Irdeto.md,Takedown,1
2017-02-02-MTDb.md,2017,02,02,MTDb.md,Takedown,1
2017-02-02-PORTAIO.md,2017,02,02,PORTAIO.md,Takedown,1
2017-02-03-Microsoft.md,2017,02,03,Microsoft.md,Takedown,1
2017-02-03-NCR.md,2017,02,03,NCR.md,Takedown,3
2017-02-03-posloan-wechat.md,2017,02,03,posloan-wechat.md,Takedown,1
2017-02-03-SingleFilePHPGallery.md,2017,02,03,SingleFilePHPGallery.md,Takedown,1
2017-02-06-Deezer.md,2017,02,06,Deezer.md,Takedown,15
2017-02-06-HBR.md,2017,02,06,HBR.md,Takedown,1
2017-02-06-Loadout.md,2017,02,06,Loadout.md,Takedown,1
2017-02-06-Pluralsight.md,2017,02,06,Pluralsight.md,Takedown,6
2017-02-07-ebay.md,2017,02,07,ebay.md,Takedown,1
2017-02-07-ElBundle.md,2017,02,07,ElBundle.md,Takedown,102
2017-02-07-Futura.md,2017,02,07,Futura.md,Takedown,1
2017-02-07-PickBasic.md,2017,02,07,PickBasic.md,Takedown,1
2017-02-07-RBoyApps.md,2017,02,07,RBoyApps.md,Takedown,5
2017-02-07-UltraPowa.md,2017,02,07,UltraPowa.md,Takedown,2
