Month,Takedown Notices Processed,"Retractions, Reversals, and Counter Notices Processed",Takedowns,Retractions,Reversals,Counter Noticed,Counter Notice Retracted,"Projects Retracted, Reversed, or Counter Noticed",Projects Remaining Offline
2018-01,153,4,1449,0,0,9,1,8,1441
2018-02,125,1,737,0,0,1,0,1,736
2018-03,161,4,857,0,0,5,0,5,852
2018-04,157,2,723,0,0,2,0,2,721
2018-05,167,5,914,3,0,3,0,6,908
2018-06,172,8,931,3,0,8,0,11,920
2018-07,147,3,967,4,0,3,0,7,960
2018-08,168,8,1354,1,0,8,0,9,1345
2018-09,149,4,1720,39,0,5,0,44,1676
2018-10,162,4,997,1,0,4,1,4,993
2018-11,134,2,936,0,0,2,0,2,934
2018-12,104,2,386,0,0,1,1,0,386
,,,,,,,,,
Totals,1799,47,11971,51,0,51,3,99,11872
