Filename,Year,Month,Date,Description,Type of Notice,Number of Repos Affected
2019-01-02-Dynastic.md,2019,1,2,Dynastic,takedown,1
2019-01-02-Englishjet.md,2019,1,2,Englishjet,takedown,1
2019-01-02-IKMTeckChek.md,2019,1,2,IKMTeckChek,takedown,1
2019-01-02-Odoo-2.md,2019,1,2,Odoo-2,takedown,3
2019-01-02-Odoo-3.md,2019,1,2,Odoo-3,takedown,10
2019-01-02-Odoo.md,2019,1,2,Odoo,takedown,2
2019-01-02-SlayTheSpire.md,2019,1,2,SlayTheSpire,takedown,1
2019-01-02-Voxel.md,2019,1,2,Voxel,takedown,1
2019-01-02-Webkul-2.md,2019,1,2,Webkul-2,takedown,1
2019-01-02-Webkul-3.md,2019,1,2,Webkul-3,takedown,1
2019-01-02-Webkul-4.md,2019,1,2,Webkul-4,takedown,1
2019-01-02-Webkul-5.md,2019,1,2,Webkul-5,takedown,1
2019-01-02-Webkul.md,2019,1,2,Webkul,takedown,1
2019-01-02-cs260.md,2019,1,2,cs260,takedown,1
2019-01-02-wix.md,2019,1,2,wix,takedown,1
2019-01-03-Corals.md,2019,1,3,Corals,takedown,6
2019-01-03-Packt.md,2019,1,3,Packt,takedown,210
2019-01-03-Pottermore.md,2019,1,3,Pottermore,takedown,1
2019-01-03-Webkul-2.md,2019,1,3,Webkul-2,takedown,1
2019-01-03-Webkul-3.md,2019,1,3,Webkul-3,takedown,1
2019-01-03-Webkul.md,2019,1,3,Webkul,takedown,1
2019-01-03-ajtek.md,2019,1,3,ajtek,takedown,1
2019-01-04-Amazon.md,2019,1,4,Amazon,takedown,1
2019-01-04-Odoo.md,2019,1,4,Odoo,takedown,1
2019-01-04-ReedElsevier.md,2019,1,4,ReedElsevier,takedown,1
2019-01-04-StereoArts.md,2019,1,4,StereoArts,takedown,3
2019-01-07-BMO.md,2019,1,7,BMO,takedown,1
2019-01-07-ChartPatterns.md,2019,1,7,ChartPatterns,takedown,1
2019-01-07-Northwoods.md,2019,1,7,Northwoods,takedown,1
2019-01-07-RootMe.md,2019,1,7,RootMe,takedown,1
2019-01-07-ThemeInfuse.md,2019,1,7,ThemeInfuse,takedown,1
2019-01-07-WinterGameProject.md,2019,1,7,WinterGameProject,takedown,1
2019-01-07-icanstudioz.md,2019,1,7,icanstudioz,takedown,3
2019-01-07-phpFiddle.md,2019,1,7,phpFiddle,takedown,1
2019-01-08-AppJetty.md,2019,1,8,AppJetty,takedown,3
2019-01-08-CrackingtheCoding.md,2019,1,8,CrackingtheCoding,takedown,48
2019-01-08-SEGGER.md,2019,1,8,SEGGER,takedown,1
2019-01-08-Stereoarts.md,2019,1,8,Stereoarts,takedown,1
2019-01-08-yFiles-2.md,2019,1,8,yFiles-2,takedown,1
2019-01-08-yFiles-3.md,2019,1,8,yFiles-3,takedown,1
