Month,Takedown Notices Processed,Retractions and Counter Notices Processed,Takedowns,Retractions,Reversals,Counter Noticed,Counter Notice Retracted,Projects Retracted or Counter Noticed,Projects Remaining Offline
2019-01,185,4,1246,0,0,5,0,5,1241
2019-02,120,3,1079,0,0,4,0,4,1075
2019-03,154,6,1444,0,0,9,0,9,1435
2019-04,127,3,956,0,0,4,0,4,952
2019-05,165,2,1062,0,0,2,0,2,1060
2019-06,163,4,758,0,0,4,0,4,754
2019-07,157,1,627,0,0,1,0,1,626
2019-08,136,0,1502,0,0,0,0,0,1502
2019-09,130,4,895,0,0,7,0,7,888
2019-10,187,3,2097,0,0,3,0,3,2094
2019-11,134,4,1475,1,0,3,0,4,1471
2019-12,104,3,1225,0,0,3,0,3,1222
,,,,,,,,,
Totals,1762,37,14366,1,0,45,0,46,14320
