Month,Takedown Notices Processed,"Retractions, Reversals, and Counter Notices Processed",Takedowns,Projects Retracted,Projects Reversed,Projects Counter Noticed,Projects Counter Notice Retracted,"Projects Retracted, Reversed, or Counter Noticed",Projects Remaining Offline,Retracted Notices,Reversed Notices,Counter Notices,Counter Notices Retracted,Projects Counter Notice Reversed,Counter Notices Reversed,"NOTE: these figures include forks that were not documented in takedown notices, so will differ from 2021-COMPILED-DATA.csv"
2021-01,119,4,1252,1,1,2,0,4,1248,1,1,2,0,0,0,
2021-02,156,1,1074,0,0,0,0,-1,1075,0,0,0,0,1,1,
2021-03,218,5,2161,3,0,2,0,5,2156,3,0,2,0,0,0,
2021-04,198,8,1702,0,0,34,0,34,1668,0,0,8,0,0,0,
2021-05,148,3,717,0,0,4,0,4,713,0,0,3,0,0,0,
2021-06,142,5,954,0,0,8,0,8,946,0,0,5,0,0,0,
2021-07,133,3,958,0,0,3,0,3,955,0,0,3,0,0,0,
2021-08,180,4,1348,11,0,2,0,12,1336,1,0,2,0,1,1,
2021-09,129,7,3188,2,0,6,0,8,3180,2,0,5,0,0,0,
2021-10,138,2,4163,0,0,3,0,3,4160,0,0,2,0,0,0,
2021-11,115,4,672,0,0,4,0,4,668,0,0,4,0,0,0,
2021-12,149,3,1087,0,0,2,0,1,1086,0,0,2,0,1,1,
